Key,English,Arabic,Reason
"app.name","Log & Ledger","Log & Ledger","غير مترجم"
"banking.accounts.accountNumberPlaceholder","1234567890","1234567890","غير مترجم"
"banking.accounts.ibanPlaceholder","US12 3456 7890 1234 5678 90","US12 3456 7890 1234 5678 90","غير مترجم"
"banking.accounts.swiftPlaceholder","FNBAUS33","FNBAUS33","غير مترجم"
"banking.accounts.openingBalancePlaceholder","0.00","0.00","غير مترجم"
"banking.accounts.currentBalancePlaceholder","0.00","0.00","غير مترجم"
"forms.taxNumberPlaceholder","taxNumberPlaceholder","123456789","غير مترجم"
"forms.registrationNumberPlaceholder","registrationNumberPlaceholder","REG-2024-001","غير مترجم"
"formats.number.comma_dot","comma_dot","1,234.56","غير مترجم"
"formats.number.dot_comma","dot_comma","1.234,56","غير مترجم"
"formats.number.space_comma","space_comma","1 234,56","غير مترجم"
"privacy.firebase","Firebase","Firebase","غير مترجم"
"toast.descriptions.New contact has been added successfully.","New contact has been added successfully.","","ناقص"
"toast.descriptions.Contact information has been updated successfully.","Contact information has been updated successfully.","","ناقص"
"toast.descriptions.Contact has been removed successfully.","Contact has been removed successfully.","","ناقص"
"placeholders.contactCodeExample","CUST001","CUST001","غير مترجم"
"placeholders.websiteExample","https://example.com","https://example.com","غير مترجم"
"placeholders.taxNumberExample","123456789","123456789","غير مترجم"
"placeholders.registrationNumberExample","REG-2024-001","REG-2024-001","غير مترجم"
"placeholders.creditLimitExample","10000.00","10000.00","غير مترجم"
"buttons.Creating...","Creating...","","ناقص"
"buttons.Adding...","Adding...","","ناقص"
"formPlaceholders.itemCode","itemCode","ITEM001","غير مترجم"
"formPlaceholders.barcode","barcode","1234567890123","غير مترجم"
"formPlaceholders.salePrice","salePrice","0.00","غير مترجم"
"formPlaceholders.purchasePrice","purchasePrice","0.00","غير مترجم"
"formPlaceholders.stockQuantity","stockQuantity","0","غير مترجم"
"formPlaceholders.minimumStock","minimumStock","10","غير مترجم"
"formPlaceholders.reorderLevel","reorderLevel","20","غير مترجم"
"dateFormats.dmySlash","dmySlash","DD/MM/YYYY","غير مترجم"
"dateFormats.mdySlash","mdySlash","MM/DD/YYYY","غير مترجم"
"dateFormats.ymdSlash","ymdSlash","YYYY/MM/DD","غير مترجم"
"dateFormats.dmyDash","dmyDash","DD-MM-YYYY","غير مترجم"
"dateFormats.mdyDash","mdyDash","MM-DD-YYYY","غير مترجم"
"dateFormats.ymdDash","ymdDash","YYYY-MM-DD","غير مترجم"
